line	DTT	PH	EW	DTT_F	PH_F	EW_F	DTT_M	PH_M	EW_M	MPH.DTT	MPH.PH	MPH.EW
MG_298_X_MG_1530	1.01177011852918	-0.0509217843166894	2.13064725649972	-0.234305927275047	-0.727467980743514	1.80271080084852	-2.78209764348868	-0.882128485218288	-1.59959865280154	1.53109889001633	0.8406350435264	-0.688349357412811
MG_806_X_MG_1530	1.1498668756543	-1.6547967675473	-1.62664478663666	1.31322146568662	-1.48000123837267	0.222156536898927	-2.78209764348868	-0.882128485218288	-1.59959865280154	0.161648047407972	0.385432747128827	-1.00250331450095
MG_833_X_MG_1530	-1.05968123834811	0.314633224818918	0.827611698017918	-1.30567104547926	0.925102119049981	0.265637056691038	-2.78209764348868	-0.882128485218288	-1.59959865280154	-0.0393698325480609	-0.803766084640695	0.0197306993254691
MG_199_X_MG_1530	NA	NA	NA	0.400577105734839	0.640694009946025	0.805208764889768	-2.78209764348868	-0.882128485218288	-1.59959865280154	NA	NA	NA
MG_204_X_MG_1530	-0.369197452722372	0.18124133480288	0.48182504737097	0.162495968356118	0.184713617632625	0.681361824288826	-2.78209764348868	-0.882128485218288	-1.59959865280154	-0.617351565592769	-0.0777131369489591	-0.482006235345273
MG_212_X_MG_1530	0.735576604278872	0.0403484495356171	-0.464013741738111	-0.313666306401287	-1.55684442313056	0.823234056209082	-2.78209764348868	-0.882128485218288	-1.59959865280154	1.26033597163797	2.03798306715926	-0.978534587395926
MG_213_X_MG_1530	-0.231100695597176	0.734179450568634	0.267434921839516	-1.22631066635302	1.28370364792023	1.10165886090413	-2.78209764348868	-0.882128485218288	-1.59959865280154	0.953473189104707	-0.857637678886285	-0.892513133317747
MG_218_X_MG_1530	0.459383090028565	0.47838649803269	1.53179618316667	0.00377521010368125	-0.0606104578444861	0.626538560203095	-2.78209764348868	-0.882128485218288	-1.59959865280154	0.588538449402113	0.462797701947339	-0.00286193947659249
MG_219_X_MG_1530	0.0450928186531314	0.140479871140656	0.0214567834147021	-0.710468202032496	0.497606700396859	1.67490708898229	-2.78209764348868	-0.882128485218288	-1.59959865280154	0.781356793507772	-0.470741771437256	-1.38121337565161
MG_220_X_MG_1530	0.735576604278872	0.00224534219929557	-0.452003090447879	-0.194625737711926	0.925102119049981	1.18338816959324	-2.78209764348868	-0.882128485218288	-1.59959865280154	1.13927071285951	-1.05320492508257	-1.23277718275932
MG_233_X_MG_1530	0.597479847153681	0.273397687430524	-0.529111471731396	0.400577105734839	0.568267100174205	0.648256838036575	-2.78209764348868	-0.882128485218288	-1.59959865280154	0.367584975857572	-0.442113646979127	-0.872358161334457
MG_239_X_MG_1530	-0.921584481222916	1.01507910232773	-0.0408784967817938	-1.70247294111047	1.85936509235656	2.03286299610808	-2.78209764348868	-0.882128485218288	-1.59959865280154	0.546240368765726	-1.23928059730737	-1.62696261767696
