seqname	DTT	PH	EW	DTT_F	PH_F	EW_F	DTT_M	PH_M	EW_M	MPH.DTT	MPH.PH	MPH.EW
MG_298_X_MG_1530	61.0328135055343	267.14098157503	237.579061147368	69.5782166636338	186.047548572565	134.721374924624	58.4742617115218	188.443535771923	60.7438640034544	-0.0467531081010967	0.42668807212132	1.43090855898716
MG_298_X_MG_1534	68.0029801396636	279.605534496469	273.100650940043	69.5782166636338	186.047548572565	134.721374924624	70.4665330598027	235.68534539648	130.793904466641	-0.0288392778171633	0.325983998378803	1.05713698711553
MG_298_X_MG_1538	71.304638018988	290.658228964112	262.566868625787	69.5782166636338	186.047548572565	134.721374924624	80.1975863472722	265.844554358056	61.1841183356593	-0.0478483628788034	0.286405436515171	1.68054625989417
MG_298_X_MG_1540	64.3344713848587	280.54762279867	227.984370086507	69.5782166636338	186.047548572565	134.721374924624	68.8675635466986	218.476956712716	69.4728563918387	-0.0706185296927189	0.38704883948042	1.23301479788794
MG_298_X_MG_1518	65.6184494490404	277.032908748148	228.152522996827	69.5782166636338	186.047548572565	134.721374924624	68.9563951863155	219.182751391597	97.7659519354448	-0.0526779037701629	0.36728625067103	0.962709331972741
MG_298_X_MG_1519	66.7190020754819	278.84316117781	256.124332121086	69.5782166636338	186.047548572565	134.721374924624	70.3777014201859	212.551996118955	122.455848471287	-0.0465711920017011	0.39911429850533	0.991811939946143
MG_298_X_MG_1520	64.8847476980795	279.29754408998	247.341905118549	69.5782166636338	186.047548572565	134.721374924624	70.4665330598028	234.914543312965	112.596021127062	-0.0733712213243939	0.326948670551209	1.00019819929576
MG_298_X_MG_1521	67.8195547019234	269.641138992412	251.206572006571	69.5782166636338	186.047548572565	134.721374924624	70.2000381409521	228.655258923944	131.523926741626	-0.0296122269270408	0.300406624301341	0.887031023153748
MG_298_X_MG_1522	66.7190020754819	241.523426588236	240.501786732668	69.5782166636338	186.047548572565	134.721374924624	68.8675635466986	167.41828375895	117.839506937584	-0.0361713881908181	0.366601263805954	0.904505440109136
MG_298_X_MG_1523	63.784195071638	261.560920092758	242.627923530946	69.5782166636338	186.047548572565	134.721374924624	71.5325127352055	181.394875755206	108.480901200425	-0.0959695929094579	0.423683836025624	0.995276749845814
MG_298_X_MG_1524	67.2692783887026	275.94588378407	230.421162261477	69.5782166636338	186.047548572565	134.721374924624	73.9309670048617	204.472504400188	98.7955549410896	-0.0625090789437722	0.413222607563884	0.973485711669669
MG_298_X_MG_1525	68.3698310151441	274.025473014197	252.885251060439	69.5782166636338	186.047548572565	134.721374924624	73.0426506086928	247.804582974629	87.5917294288253	-0.0412366391715215	0.26322059102014	1.27503683865962
MG_298_X_MG_1526	66.3521512000014	253.251218139093	231.695134310848	69.5782166636338	186.047548572565	134.721374924624	72.864987329459	173.640421059609	110.154108962596	-0.0683704193677239	0.408171746183638	0.892350599029813
MG_298_X_MG_1527	65.6184494490404	280.728793626017	262.606769316372	69.5782166636338	186.047548572565	134.721374924624	69.3117217447831	215.096571671761	112.814122483174	-0.055101468097939	0.399640575337526	1.12177059101746
MG_298_X_MG_1528	65.0681731358197	245.569575059602	236.285138752706	69.5782166636338	186.047548572565	134.721374924624	68.3345737089972	187.932763306944	104.65054757271	-0.0563866779867201	0.313275417229562	0.97420930815591
MG_298_X_MG_1529	61.2162389432745	268.119304042701	227.183182480873	69.5782166636338	186.047548572565	134.721374924624	62.8270120527497	214.613659523054	91.6303081248277	-0.075319916943737	0.338384144135628	1.00734696928443
MG_298_X_MG_1531	NA	NA	NA	69.5782166636338	186.047548572565	134.721374924624	74.9044378944434	173.222458636903	77.7707970337195	NA	NA	NA
MG_298_X_MG_1532	NA	NA	NA	69.5782166636338	186.047548572565	134.721374924624	73.9309670048617	197.878896215908	62.9791971476041	NA	NA	NA
MG_298_X_MG_1533	65.9853003245209	253.69810618592	260.861114103308	69.5782166636338	186.047548572565	134.721374924624	72.0655025729069	175.312040035905	135.535345646113	-0.0682918991370528	0.404131032818945	0.930469026282958
MG_298_X_MG_1535	65.6184494490404	245.617887286267	239.79069942547	69.5782166636338	186.047548572565	134.721374924624	69.7558799428676	196.820204197587	118.944828149879	-0.058113540803212	0.28304295939867	0.890600296918879
MG_298_X_MG_1536	65.8018748867807	244.938496683718	224.253655516875	69.5782166636338	186.047548572565	134.721374924624	66.6467725562762	190.146110652092	134.585575967045	-0.0339235809289622	0.302193647753348	0.665413052090757
MG_298_X_MG_1539	70.2040853925466	273.735599690442	228.745333256937	69.5782166636338	186.047548572565	134.721374924624	78.1060540668558	224.94055008773	67.1930799524813	-0.0492679410570041	0.332085287056937	1.26576481011389
MG_298_X_MG_1541	69.8372345170661	327.442030826896	242.151965293262	69.5782166636338	186.047548572565	134.721374924624	81.2151614534472	255.837308775098	55.4889418184748	-0.0737360567273432	0.482024221387942	1.54614964571366
MG_298_X_MG_1542	66.3521512000014	280.900905911996	261.471024659383	69.5782166636338	186.047548572565	134.721374924624	71.3548494559717	235.416029005854	143.374649106358	-0.0583877435308133	0.332978320574952	0.880436986256611
MG_298_X_MG_1543	64.517896822599	280.450998363458	248.216870262076	69.5782166636338	186.047548572565	134.721374924624	69.6670483032507	240.449459478925	159.211276632031	-0.0733200610025377	0.315137002459815	0.688937033347808
MG_298_X_MG_1544	65.4350240113002	277.515625471484	241.419502616107	69.5782166636338	186.047548572565	134.721374924624	69.4005533844	241.396710232159	146.698842983096	-0.0583450409197812	0.298488023900519	0.715722519234708
MG_298_X_MG_1545	65.9853003245209	274.89509298546	238.11914549492	69.5782166636338	186.047548572565	134.721374924624	68.2457420693803	241.972490101772	123.386688598692	-0.0424698153919023	0.284496370015127	0.845112022030336
MG_298_X_MG_1546	65.0681731358197	268.083069877232	262.432916307397	69.5782166636338	186.047548572565	134.721374924624	73.664472086011	220.09285505647	148.158887533067	-0.0914974620513599	0.320149719071519	0.855434621188163
MG_298_X_MG_1547	65.2515985735599	273.110560336097	266.025403484648	69.5782166636338	186.047548572565	134.721374924624	68.4234053486141	229.119597528471	135.522177262347	-0.0543357734191166	0.315665571811081	0.968782613548503
MG_298_X_MG_1548	64.3344713848587	237.284029228329	255.341993580701	69.5782166636338	186.047548572565	134.721374924624	70.1112065013352	169.368505897962	108.116301574924	-0.0788927332188691	0.335246544120341	1.10298498372575
MG_806_X_MG_1530	61.2162389432745	250.745021700173	193.000014592057	73.0426506086928	170.222888930291	105.132839628112	58.4742617115218	188.443535771923	60.7438640034544	-0.0690742678899503	0.398207383968858	1.32702978015207
MG_806_X_MG_1534	67.2692783887026	259.241933502723	247.581309262055	73.0426506086928	170.222888930291	105.132839628112	70.4665330598027	235.68534539648	130.793904466641	-0.0625090789437722	0.277342569473591	1.09879816899962
MG_806_X_MG_1538	75.8902739624942	296.345718943284	216.530954660414	73.0426506086928	170.222888930291	105.132839628112	80.1975863472722	265.844554358056	61.1841183356593	-0.00952549447829454	0.359173786094034	1.6038349584001
MG_806_X_MG_1540	67.4527038264429	275.305746866818	222.868531543734	73.0426506086928	170.222888930291	105.132839628112	68.8675635466986	218.476956712716	69.4728563918387	-0.0493608338497422	0.416546725977693	1.55282086007399
